Name,Position,Club,League,Pace,Shooting,Passing,Dribbling,Defense,Physical,Card Rating,Weak Foot,Skill Moves,Work Rates,Strong Foot,Futhead Card Link
Cristiano Ronaldo, ST , Piemonte Calcio , Italy Serie A ,98,99,92,99,43,94,99,4,5,High/Medium,Left,https://www.futhead.com/20/players/22044/cristiano-ronaldo/
Robert Lewandowski, ST , Bayern M nchen , Germany Bundesliga ,94,99,95,97,50,94,99,4,4,High/Medium,Right,https://www.futhead.com/20/players/21968/robert-lewandowski/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,98,99,99,99,44,80,99,4,4,High/Low,Left,https://www.futhead.com/20/players/21921/lionel-messi/
Virgil van Dijk, CB , Liverpool , England Premier League ,87,80,91,91,99,99,99,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/21874/virgil-van-dijk/
Kevin De Bruyne, CM , Manchester City , England Premier League ,92,97,99,98,90,95,99,5,4,High/High,Right,https://www.futhead.com/20/players/21868/kevin-de-bruyne/
Pelé, ST , Icons , Icons ,97,98,95,99,62,81,99,4,5,High/Medium,Right,https://www.futhead.com/20/players/20267/pele/
Diego Maradona, CAM , Icons , Icons ,97,96,94,99,42,80,99,3,5,High/Medium,Left,https://www.futhead.com/20/players/20113/diego-maradona/
Cristiano Ronaldo, ST , Piemonte Calcio , Italy Serie A ,97,99,92,98,45,95,99,4,5,High/Low,Right,https://www.futhead.com/20/players/18701/cristiano-ronaldo/
Virgil van Dijk, CB , Liverpool , England Premier League ,88,80,92,90,99,98,99,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/18696/virgil-van-dijk/
Lionel Messi, RW , FC Barcelona , Spain Primera Division ,96,98,99,99,50,85,99,4,4,Medium/Low,Left,https://www.futhead.com/20/players/18662/lionel-messi/
Neymar, LW , Paris Saint Germain , France Ligue ,98,96,98,99,38,67,98,5,5,High/Medium,Right,https://www.futhead.com/20/players/22100/neymar/
Kylian Mbappé, ST , Paris Saint Germain , France Ligue ,99,97,92,98,55,90,98,4,5,High/Low,Right,https://www.futhead.com/20/players/22099/kylian-mbappe/
Sadio Mané, LW , Liverpool , England Premier League ,99,97,95,98,58,90,98,4,4,High/Medium,Right,https://www.futhead.com/20/players/21875/sadio-mane/
Sadio Mané, LW , Liverpool , England Premier League ,99,97,95,98,58,90,98,4,4,High/Medium,Right,https://www.futhead.com/20/players/21871/sadio-mane/
Kevin De Bruyne, CAM , Manchester City , England Premier League ,88,96,99,96,82,93,98,5,4,High/High,Right,https://www.futhead.com/20/players/18667/kevin-de-bruyne/
Kylian Mbappé, ST , Paris Saint Germain , France Ligue ,99,96,93,98,55,90,98,4,5,High/Low,Right,https://www.futhead.com/20/players/18663/kylian-mbappe/
